stroke_id,stroke_type,start_frame,contact_frame,end_frame,camera_angle,player_handedness
0,forehand_smash,0,3,13,side,right
1,forehand_smash,20,33,42,side,right
2,forehand_smash,52,62,73,side,right
3,forehand_smash,82,91,101,side,right
4,forehand_smash,110,119,132,side,right
5,forehand_smash,138,147,158,side,right
6,forehand_smash,165,176,187,side,right
7,forehand_smash,195,204,213,side,right
8,forehand_smash,222,233,243,side,right
9,forehand_smash,252,262,271,side,right
10,forehand_smash,280,291,299,side,right
11,forehand_smash,309,320,330,side,right
12,forehand_smash,340,348,358,side,right
13,forehand_smash,366,376,386,side,right
14,forehand_smash,395,405,416,side,right
15,forehand_smash,421,434,442,side,right
16,forehand_smash,451,462,471,side,right
17,forehand_smash,510,519,528,side,right
18,forehand_smash,539,548,558,side,right
19,forehand_smash,566,576,586,side,right
20,forehand_smash,594,604,614,side,right
21,forehand_smash,623,633,644,side,right
22,forehand_smash,651,662,672,side,right
23,forehand_smash,679,691,701,side,right
24,forehand_smash,708,720,730,side,right
25,forehand_smash,738,749,759,side,right
26,forehand_smash,766,777,786,side,right
27,forehand_smash,795,805,814,side,right
28,forehand_smash,822,833,841,side,right
29,forehand_smash,850,862,869,side,right
30,forehand_smash,879,890,899,side,right
31,forehand_smash,908,918,928,side,right
32,forehand_smash,934,946,955,side,right
33,forehand_smash,964,975,984,side,right
34,forehand_smash,992,1003,1011,side,right
35,forehand_smash,1021,1031,1041,side,right
36,forehand_smash,1048,1059,1068,side,right
37,forehand_smash,1075,1087,1095,side,right
38,forehand_smash,1105,1115,1121,side,right
39,forehand_smash,1131,1142,1150,side,right
40,forehand_smash,1159,1169,1177,side,right
41,forehand_smash,1186,1197,1206,side,right
42,forehand_smash,1214,1225,1234,side,right
43,forehand_chop,1242,1254,1259,side,right
44,forehand_smash,1270,1281,1288,side,right
45,forehand_smash,1299,1309,1317,side,right
46,forehand_smash,1325,1337,1343,side,right
47,forehand_smash,1353,1365,1369,side,right
48,forehand_smash,1381,1392,1399,side,right
49,forehand_smash,1408,1421,1427,side,right
50,forehand_smash,1437,1449,1457,side,right
